AG023.4564+0.0646  1 1201   5.2 35   2.3   18.1  48.2
AG023.4564+0.0646  2 1029   5.2 35   0.19   2.1   6.4
AG023.4564+0.0646  3 1118   5.2 35   0.22   2.0   5.7
AG023.4564+0.0646  4 1276   5.2 35   1.06   7.4  18.4
AG023.4837+0.0974  1 1306  11.2 36   0.46   3.1   7.5
AG023.4837+0.0974  2 1465  11.2 36   3.21  17.0  37.1
AG023.4837+0.0974  3 1811  11.2 36   0.44   1.5   2.7
AG023.4837+0.0974  4 1744  11.2 36   0.73   2.7   5.0
AG023.4837+0.0974  5 1584  11.2 36   0.27   1.2   2.5
AG023.4837+0.0974  6 1286  11.2 36   2.81  19.3  47.9
AG023.5687+0.0144  1 1223   2.5 35   0.34   2.6   6.7
AG023.5687+0.0144  2 1357   2.5 35   0.28   1.7   4.1
AG023.5687+0.0144  3 1231   2.5 35   0.27   2.0   5.2
AG023.5687+0.0144  4 1539   2.5 35   0.3    1.5   3.0
AG023.5687+0.0144  5 1826   2.5 35   1.07   3.7   6.4
AG023.5687+0.0144  6 1529   2.5 35   0.44   2.1   4.4
AG023.5687+0.0144  7 1410   2.5 35   0.58   3.3   7.6
AG023.5687+0.0144  8 1429   2.5 35   1.95  10.9  24.2
AG023.5687+0.0144  9 1491   2.5 35   0.4    2.1   4.4
AG023.5687+0.0144 10 1472   2.5 35   3.88  20.3  44.1
AG023.5687+0.0144 11 1648   2.5 35   7.73  32.4  62.7
AG023.5687+0.0144 12 2400   2.5 35   4.41   8.7  11.6
AG023.6469+0.1951  1 1260   0.1 20   1.08   7.7  19.5
AG023.6469+0.1951  2 1309   0.1 20   1.23   8.2  20.0
AG023.7065-0.1971  1 1766  11.6 36   1.57   5.7  10.3
AG023.7065-0.1971  2 1452  11.6 36   0.21   1.2   2.5
AG023.7065-0.1971  3 2025  11.6 36   0.65   1.8   2.8
AG023.7065-0.1971  4 1650  11.6 36   0.67   2.8   5.4
AG023.7065-0.1971  5 1730  11.6 36   0.3    1.1   2.1
AG023.7065-0.1971  6 1642  11.6 36   0.45   1.9   3.7
AG023.7065-0.1971  7 1668  11.6 36   0.79   3.2   6.2
AG023.7065-0.1971  8 1723  11.6 36   1.39   5.3   9.8
AG023.7065-0.1971  9 1544  11.6 36   0.26   1.2   2.5
AG023.7065-0.1971 10 1789  11.6 36   1.61   5.7  10.2
AG023.7065-0.1971 11 1657  11.6 36   1.1    4.6   8.8
AG023.7110+0.1717  1 1355  38.3 47   0.2    1.2   2.9
AG023.7110+0.1717  2 1804  38.3 47   0.27   1.0   1.7
AG023.7110+0.1717  3 1541  38.3 47   1.06   5.1  10.5
AG023.7110+0.1717  4 1660  38.3 47   4.44  18.3  35.2
AG023.7110+0.1717  5 1862  38.3 47   0.76   2.5   4.3
AG023.7110+0.1717  6 1873  38.3 47   0.27   0.9   1.5
AG023.7110+0.1717  7 1502  38.3 47   0.18   0.9   1.9
AG023.7110+0.1717  8 1217  38.3 47   0.15   1.2   3.1
AG023.7110+0.1717  9 1555  38.3 47   0.22   1.0   2.1
AG023.7110+0.1717 10 1875  38.3 47   0.82   2.6   4.5
AG023.7110+0.1717 11 1558  38.3 47   1.01   4.7   9.7
AG023.7110+0.1717 12 1518  38.3 47   0.98   4.9  10.2
AG023.7110+0.1717 13 2111  38.3 47   2.25   5.7   8.7
