AG023.2657+0.0767  3 278.35114  -8.55545  23.26943  0.07696    1.29   0.1  0.4  0.33  -81    1.29 0.38 0.34 -61 N Y
AG023.2657+0.0767  4 278.35038  -8.55998  23.26506  0.07554    0.77   1.34 0.33 0.51 -126    1.0  0.38 0.34 -61 Y Y
AG023.2657+0.0767  5 278.34974  -8.55917  23.2655   0.07648    0.66   1.77 0.34 0.51  174    0.87 0.38 0.34 -61 Y Y
AG023.2657+0.0767  6 278.34951  -8.5588   23.26572  0.07685    2.91   3.85 0.33 0.33 -223    2.34 0.38 0.34 -61 Y Y
AG023.2710-0.2570  1 278.64921  -8.7102   23.26795 -0.25589    0.67   0.03 0.2  0.27  -74    0.54 0.31 0.21 -61 N N
AG023.2710-0.2570  2 278.65265  -8.70857  23.27097 -0.25815    1.95   0.36 0.33 0.25   25    2.47 0.31 0.21 -61 N N
AG023.2969-0.0711  1 278.49543  -8.60059  23.29518 -0.07045    0.58  -0.06 0.31 0.26   18    0.75 0.31 0.2  -62 N N
AG023.2969-0.0711  2 278.49778  -8.59982  23.29693 -0.07216    1.89   0.05 0.35 0.23   24    2.48 0.31 0.2  -62 N N
AG023.2969-0.0711  3 278.50141  -8.59861  23.29966 -0.07479    2.54   0.42 0.3  0.21  199    2.67 0.31 0.2  -62 N N
AG023.3651-0.2895  1 278.72553  -8.6405   23.36457 -0.29076    2.02   0.42 0.3  0.2    39    2.33 0.29 0.18 -65 N N
AG023.3651-0.2895  2 278.72462  -8.63995  23.36464 -0.2897     2.07   0.25 0.33 0.21   29    2.77 0.29 0.18 -65 N N
AG023.3651-0.2895  3 278.72553  -8.63872  23.36614 -0.28994    0.7    0.43 0.33 0.23   22    1.05 0.29 0.18 -65 N N
AG023.3651-0.2895  4 278.72434  -8.63858  23.36573 -0.28883    0.58   0.22 0.18 0.27 -257    0.55 0.29 0.18 -65 N N
AG023.3651-0.2895  5 278.72328  -8.63806  23.36571 -0.28766    0.72   0.22 0.18 0.27  284    0.7  0.29 0.18 -65 N N
AG023.3651-0.2895  6 278.72368  -8.63776  23.36615 -0.28787    0.74   0.26 0.27 0.17   24    0.67 0.29 0.18 -65 N N
AG023.3651-0.2895  7 278.72529  -8.63717  23.36741 -0.28902    0.66   0.09 0.29 0.19   36    0.7  0.29 0.18 -65 N N
AG023.3651-0.2895  8 278.72778  -8.63625  23.36937 -0.29077    2.09   0.19 0.29 0.24   20    2.82 0.29 0.18 -65 N N
AG023.3891+0.4559  1 278.0678   -8.27422  23.38951  0.45542    0.39   0.55 0.2  0.31 -268    0.36 0.32 0.21 -60 N N
AG023.3891+0.4559  2 278.06791  -8.27414  23.38963  0.45536    0.85   0.42 0.3  0.25   39    0.92 0.32 0.21 -60 N N
AG023.3891+0.4559  3 278.06901  -8.27342  23.39077  0.45473    0.83   0.15 0.31 0.2    45    0.76 0.32 0.21 -60 N N
AG023.4055+0.4494  1 278.08158  -8.263    23.40576  0.44851    3.47   0.2  0.3  0.21   22    4.21 0.29 0.18 -65 N N
AG023.4055+0.4494  2 278.08095  -8.26288  23.40558  0.44912    0.54   0.13 0.28 0.17   32    0.49 0.29 0.18 -65 N N
AG023.4055+0.4494  3 278.08301  -8.26214  23.40718  0.44765    0.89   0.12 0.29 0.18   21    0.88 0.29 0.18 -65 N N
AG023.4055+0.4494  4 278.08106  -8.26178  23.40661  0.44953    0.94   0.41 0.19 0.26 -246    0.9  0.29 0.18 -65 N N
AG023.4055+0.4494  5 278.08283  -8.2601   23.40891  0.44876    1.0    0.05 0.3  0.17   22    1.0  0.29 0.18 -65 N N
AG023.4055+0.4494  6 278.08209  -8.26091  23.40785  0.44903    0.65   0.29 0.24 0.18   14    0.56 0.29 0.18 -65 N N
AG023.4055+0.4494  7 278.08212  -8.26086  23.40791  0.44903    0.78   0.29 0.26 0.17   35    0.68 0.29 0.18 -65 N N
AG023.4373-0.1829  1 278.66173  -8.52894  23.43454 -0.18339    1.04   0.36 0.34 0.18   76    1.43 0.27 0.17 -68 N N
AG023.4373-0.1829  2 278.66433  -8.52762  23.4369  -0.18506    1.01   0.15 0.24 0.18   29    0.97 0.27 0.17 -68 N N
AG023.4373-0.1829  3 278.66372  -8.5275   23.43672 -0.18447    1.11   2.78 0.28 0.19   -7    1.29 0.27 0.17 -68 N N
AG023.4373-0.1829  4 278.66403  -8.52731  23.43703 -0.18465    0.89   0.23 0.37 0.16 -133    1.21 0.27 0.17 -68 N N
AG023.4373-0.1829  5 278.66426  -8.52654  23.43783 -0.1845     0.88   0.26 0.28 0.16   40    0.87 0.27 0.17 -68 N N
AG023.4373-0.1829  6 278.66189  -8.52478  23.43831 -0.18161    0.85   0.12 0.16 0.24 -216    0.71 0.27 0.17 -68 N N
AG023.4373-0.1829  7 278.66346  -8.52399  23.43973 -0.18262    0.95   1.1  0.33 0.18   21    1.23 0.27 0.17 -68 N N
AG023.4373-0.1829  8 278.66329  -8.52394  23.43969 -0.18245    1.03   1.16 0.18 0.25  -37    1.0  0.27 0.17 -68 N N
AG023.4373-0.1829  9 278.66329  -8.52373  23.43988 -0.18235   15.71   2.37 0.27 0.19   19   17.4  0.27 0.17 -68 N N
AG023.4373-0.1829 10 278.66334  -8.52772  23.43636 -0.18424    1.9    1.4  0.37 0.25   94    3.92 0.27 0.17 -68 N N
AG023.4373-0.1829 11 278.66323  -8.52769  23.43634 -0.18412    5.78   0.8  0.35 0.23   28   10.19 0.27 0.17 -68 N N
AG023.4373-0.1829 12 278.66353  -8.5276   23.43655 -0.18435    8.36   1.35 0.32 0.19   11   11.3  0.27 0.17 -68 N N
AG023.4373-0.1829 13 278.66358  -8.52753  23.43664 -0.18436    2.28   1.97 0.36 0.25    9    4.48 0.27 0.17 -68 N N
AG023.4407+0.4334  1 278.11099  -8.23922  23.4403   0.43368    0.78   0.01 0.35 0.19   18    0.85 0.31 0.2  -61 N N
AG023.4407+0.4334  2 278.11121  -8.23905  23.44055  0.43357    0.65   0.09 0.28 0.19   36    0.58 0.31 0.2  -61 N N
AG023.4564+0.0646  1 278.44975  -8.39836  23.4538   0.06287    7.24   0.27 0.3  0.21   24    8.32 0.29 0.19 -64 N Y
AG023.4564+0.0646  2 278.44874  -8.39815  23.45352  0.06385    0.83   0.47 0.18 0.26 -250    0.7  0.29 0.19 -64 N Y
AG023.4564+0.0646  3 278.45111  -8.39742  23.45526  0.06211    0.8    0.13 0.31 0.18   15    0.8  0.29 0.19 -64 N Y
AG023.4564+0.0646  4 278.45144  -8.39721  23.4556   0.06192    2.94   0.11 0.3  0.23   23    3.82 0.29 0.19 -64 N Y
AG023.4837+0.0974  1 278.43447  -8.35941  23.4814   0.09425    1.65  -0.34 0.35 0.21   28    1.69 0.33 0.22 -60 N Y
