MOUS,ms_url
uid___A001_X1467_X203,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X1467_X203/uid___A002_Xe1baa0_X7c79/uid___A002_Xe1baa0_X7c79.ms
uid___A001_X1467_X208,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X1467_X208/uid___A002_Xe29133_Xd152/uid___A002_Xe29133_Xd152.ms
uid___A001_X1467_X20a,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X1467_X20a/uid___A002_Xe2ada9_Xf07e/uid___A002_Xe2ada9_Xf07e.ms
uid___A001_X1467_X20f,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X1467_X20f/uid___A002_Xe230a1_X3bca/uid___A002_Xe230a1_X3bca.ms
uid___A001_X1467_X211,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X1467_X211/uid___A002_Xe29133_Xd081/uid___A002_Xe1f219_X3286.ms
uid___A001_X1467_X216,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X1467_X216/uid___A002_Xe230a1_X3c97/uid___A002_Xe230a1_X3c97.ms
uid___A001_X1467_X218,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X1467_X218/uid___A002_Xe20b32_X8657/uid___A002_Xe20b32_X8657.ms
uid___A001_X1467_X21d,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X1467_X21d/uid___A002_Xe29133_Xc7cc/uid___A002_Xe29133_Xc7cc.ms
uid___A001_X1467_X21f,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X1467_X21f/uid___A002_Xe1d2cb_X5af5/uid___A002_Xe1d2cb_X5af5.ms
uid___A001_X1467_X224,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X1467_X224/uid___A002_Xe31981_X100df/uid___A002_Xe31981_X100df.ms
uid___A001_X1467_X226,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X1467_X226/uid___A002_Xe2ada9_X195c1/uid___A002_Xe247d0_X1982.ms
uid___A001_X1467_X22b,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X1467_X22b/uid___A002_Xe2ada9_X11271/uid___A002_Xe2ada9_X11271.ms
uid___A001_X1467_X22d,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X1467_X22d/uid___A002_Xe2eefc_X10ff7/uid___A002_Xe2ada9_X1248c.ms
uid___A001_X1467_X232,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X1467_X232/uid___A002_Xe34c04_X11381/uid___A002_Xe32bed_X109fc.ms
uid___A001_X1467_X234,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X1467_X234/uid___A002_Xe3da01_X3e25/uid___A002_Xe37224_X7beb.ms
uid___A001_X1467_X239,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X1467_X239/uid___A002_Xe31981_X10d57/uid___A002_Xe31981_X10d57.ms
uid___A001_X1467_X23b,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X1467_X23b/uid___A002_Xe1f219_Xc944/uid___A002_Xe1f219_Xc944.ms
uid___A001_X1467_X23e,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X1467_X23e/uid___A002_Xed9025_X68bb/uid___A002_Xed9025_X6407.ms
uid___A001_X1467_X240,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X1467_X240/uid___A002_Xe2ada9_X19d94/uid___A002_Xe2ada9_X19d94.ms
uid___A001_X1467_X242,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X1467_X242/uid___A002_Xe29133_X5ae9/uid___A002_Xe230a1_X4315.ms
uid___A001_X146c_X97,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X146c_X97/uid___A002_Xeaae1d_X59da/uid___A002_Xeaae1d_X59da.ms
uid___A001_X146c_X99,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X146c_X99/uid___A002_Xe2ada9_X19849/uid___A002_Xe2ada9_X19849.ms
